<20 trees - 2 bit>,dataset size ,model size (Total nodes),Accuracy
iris_data (150) - 0.3 KB, 2.8 KB - 0.3 KB ,30 KB - 2KB (346 - 466),1.00 -  1.00
cancer_data (570) - ,121 KB - 5.1 KB,70KB - 3KB ( 736 - 948),0.965 - 0.956
digit_data (2000),2.0 MB - 74 KB,1.35 MB - 0.036 MB (8284 - 10342),0.951 - 0.958
run_walk (89000),4.3 MB - 266 KB,2.58 MB - 0.017 MB (36538 - 7260),0.991 - 0.978
walker_fall (2400),16.2 MB - 598 KB,0.32 MB - 0.016 MB ( 3498 - 3348),0.968 - 0.968
Mnist (70000),73.4 MB - 2.6 MB,17.2 MB - 0.563 MB ( 140182 - 158198),0.960 - 0.958
Emnist (274000), 151 MB - 5.2 MB,3424 MB - 4.75 MB ( 987561 - 1187986),0.823 - 0.795
