min_split,max_depth,total_nodes
2,9,369
2,11,466
2,13,494
2,15,500
2,17,503
4,9,344
4,11,416
4,13,443
4,15,444
4,17,450
6,9,307
6,11,380
6,13,391
6,15,388
6,17,392
8,9,292
8,11,340
8,13,350
8,15,353
8,17,343
