min_split,min_leaf,max_depth,max_nodes
1,1,50,37
1,1,50,33
1,2,50,27
2,1,50,33
2,2,50,29
3,1,50,35
3,2,50,25
4,1,50,31
4,2,50,27
5,1,50,35
5,2,50,25
