min_split,min_leaf,max_depth,max_nodes
2,1,50,431
2,1,50,493
2,2,50,329
2,3,50,315
3,1,50,411
3,2,50,339
3,3,50,285
4,1,50,383
4,2,50,371
4,3,50,325
5,1,50,409
5,2,50,351
5,3,50,297
6,1,50,343
6,2,50,381
6,3,50,277
