min_split,min_leaf,max_depth,max_nodes
1,1,11,73
1,1,13,73
1,1,15,67
2,1,11,73
2,1,13,81
2,1,15,83
3,1,11,69
3,1,13,75
3,1,15,75
4,1,11,63
4,1,13,65
4,1,15,65
5,1,11,63
5,1,13,61
5,1,15,63
