min_split,max_depth,total_nodes
2,9,344
2,11,476
2,13,535
2,15,553
2,17,562
4,9,327
4,11,423
4,13,477
4,15,488
4,17,495
6,9,298
6,11,386
6,13,422
6,15,433
6,17,437
8,9,286
8,11,354
8,13,380
8,15,383
8,17,382
