min_split,max_depth,total_nodes
2,5,1
2,7,1
2,9,1
2,11,1
2,13,1
2,15,1
3,5,1
3,7,1
3,9,1
3,11,1
3,13,1
3,15,1
4,5,1
4,7,1
4,9,1
4,11,1
4,13,1
4,15,1
