min_split,max_depth,total_nodes
2,5,31
2,7,126
2,9,471
2,11,1023
2,13,1023
2,15,1023
2,17,1023
3,5,31
3,7,125
3,9,467
3,11,1023
3,13,1023
3,15,1023
3,17,1023
4,5,31
4,7,126
4,9,471
4,11,1023
4,13,1023
4,15,1023
4,17,1023
