min_split,max_depth,total_nodes
2,4,15
2,6,48
2,8,110
2,10,182
2,12,215
2,14,228
2,16,231
3,4,14
3,6,47
3,8,109
3,10,167
3,12,224
3,14,233
3,16,222
4,4,14
4,6,48
4,8,110
4,10,178
4,12,227
4,14,219
4,16,217
