min_split,max_depth,total_nodes
2,11,163
2,13,178
2,15,186
2,17,188
2,19,190
2,21,189
2,23,189
4,11,157
4,13,169
4,15,176
4,17,181
4,19,179
4,21,181
4,23,183
6,11,148
6,13,159
6,15,167
6,17,171
6,19,169
6,21,172
6,23,169
8,11,139
8,13,152
8,15,157
8,17,161
8,19,162
8,21,163
8,23,160
